153,السنة الثانية الثانوية مسار حاسب وهندسة,الأول,اللياقة والثقافة الصحية,3
154,السنة الثانية الثانوية مسار حاسب وهندسة,الأول,النشاط,2
155,,,,
156,الصف الدراسي,الفصل,المادة الدراسية,عدد الحصص
157,السنة الثانية الثانوية مسار حاسب وهندسة,الثاني,الرياضيات 2,5
158,السنة الثانية الثانوية مسار حاسب وهندسة,الثاني,اللغة الإنجليزية 2,5
159,السنة الثانية الثانوية مسار حاسب وهندسة,الثاني,الكيمياء 2,3
160,السنة الثانية الثانوية مسار حاسب وهندسة,الثاني,علم البيانات,4
161,السنة الثانية الثانوية مسار حاسب وهندسة,الثاني,الهندسة,3
162,السنة الثانية الثانوية مسار حاسب وهندسة,الثاني,التوحيد 1,2
163,السنة الثانية الثانوية مسار حاسب وهندسة,الثاني,الجغرافيا,3
164,السنة الثانية الثانوية مسار حاسب وهندسة,الثاني,اللياقة والثقافة الصحية,3
165,السنة الثانية الثانوية مسار حاسب وهندسة,الثاني,النشاط,2
166,,,,
167,الصف الدراسي,الفصل,المادة الدراسية,عدد الحصص
168,السنة الثانية الثانوية صحة وحياة,الأول,الرياضيات 2,5
169,السنة الثانية الثانوية صحة وحياة,الأول,اللغة الإنجليزية 2,5
170,السنة الثانية الثانوية صحة وحياة,الأول,الكيمياء 2,5
171,السنة الثانية الثانوية صحة وحياة,الأول,الأحياء 2,4
172,السنة الثانية الثانوية صحة وحياة,الأول,مبادئ العلوم الصحية,4
173,السنة الثانية الثانوية صحة وحياة,الأول,الكفايات اللغوية 2,4
174,السنة الثانية الثانوية صحة وحياة,الأول,اللياقة والثقافة الصحية,3
175,السنة الثانية الثانوية صحة وحياة,الأول,النشاط,2
176,,,,
177,الصف الدراسي,الفصل,المادة الدراسية,عدد الحصص
178,السنة الثانية الثانوية صحة وحياة,الثاني,الرياضيات 2,5
179,السنة الثانية الثانوية صحة وحياة,الثاني,اللغة الإنجليزية 2,5
180,السنة الثانية الثانوية صحة وحياة,الثاني,الفيزياء 2,4
181,السنة الثانية الثانوية صحة وحياة,الثاني,الرعاية الصحية,3
182,السنة الثانية الثانوية صحة وحياة,الثاني,التقنية الرقمية 2,2
183,السنة الثانية الثانوية صحة وحياة,الثاني,التوحيد 1,2
184,السنة الثانية الثانوية صحة وحياة,الثاني,اللياقة والثقافة الصحية,3
185,السنة الثانية الثانوية صحة وحياة,الثاني,النشاط,2
186,,,,
187,الصف الدراسي,الفصل,المادة الدراسية,عدد الحصص
188,السنة الثانية الثانوية إدارة أعمال,الأول,اللغة الإنجليزية 2,5
189,السنة الثانية الثانوية إدارة أعمال,الأول,صناعة القرار في الأعمال,5
190,السنة الثانية الثانوية إدارة أعمال,الأول,مقدمة في الأعمال,4
191,السنة الثانية الثانوية إدارة أعمال,الأول,الكفايات اللغوية 2,4
192,السنة الثانية الثانوية إدارة أعمال,الأول,الإدارة المالية,3
193,السنة الثانية الثانوية إدارة أعمال,الأول,التوحيد 1,2
194,السنة الثانية الثانوية إدارة أعمال,الأول,التاريخ,2
195,السنة الثانية الثانوية إدارة أعمال,الأول,اللياقة والثقافة الصحية,3
196,السنة الثانية الثانوية إدارة أعمال,الأول,النشاط,3
197,,,,
198,الصف الدراسي,الفصل,المادة الدراسية,عدد الحصص
199,السنة الثانية الثانوية إدارة أعمال,الثاني,اللغة الإنجليزية 2,5
200,السنة الثانية الثانوية إدارة أعمال,الثاني,صناعة القرار في الأعمال,4
201,السنة الثانية الثانوية إدارة أعمال,الثاني,مقدمة في الأعمال,3
202,السنة الثانية الثانوية إدارة أعمال,الثاني,مبادئ الاقتصاد,3
203,السنة الثانية الثانوية إدارة أعمال,الثاني,مبادئ الإدارة,3
204,السنة الثانية الثانوية إدارة أعمال,الثاني,التفسير 1,2
205,السنة الثانية الثانوية إدارة أعمال,الثاني,الجغرافيا,3
206,السنة الثانية الثانوية إدارة أعمال,الثاني,الفنون,2
207,السنة الثانية الثانوية إدارة أعمال,الثاني,اللياقة والثقافة الصحية,3
208,السنة الثانية الثانوية إدارة أعمال,الثاني,النشاط,3
209,,,,
210,الصف الدراسي,الفصل,المادة الدراسية,عدد الحصص
211,السنة الثانية الثانوية مسار شرعي,الأول,القرآن الكريم 1,5
212,السنة الثانية الثانوية مسار شرعي,الأول,اللغة الإنجليزية 2,5
213,السنة الثانية الثانوية مسار شرعي,الأول,الكفايات اللغوية 2,4
214,السنة الثانية الثانوية مسار شرعي,الأول,القراءات 1,4
215,السنة الثانية الثانوية مسار شرعي,الأول,الحديث 2,2
216,السنة الثانية الثانوية مسار شرعي,الأول,التوحيد 1,2
217,السنة الثانية الثانوية مسار شرعي,الأول,التاريخ,3
218,السنة الثانية الثانوية مسار شرعي,الأول,اللياقة والثقافة الصحية,3
219,السنة الثانية الثانوية مسار شرعي,الأول,النشاط,3
220,,,,
221,الصف الدراسي,الفصل,المادة الدراسية,عدد الحصص
222,السنة الثانية الثانوية مسار شرعي,الثاني,القرآن الكريم 1,5
223,السنة الثانية الثانوية مسار شرعي,الثاني,اللغة الإنجليزية 2,5
224,السنة الثانية الثانوية مسار شرعي,الثاني,علوم القرآن,4
225,السنة الثانية الثانوية مسار شرعي,الثاني,القراءات 2,3
226,السنة الثانية الثانوية مسار شرعي,الثاني,مصطلح الحديث,2
227,السنة الثانية الثانوية مسار شرعي,الثاني,التوحيد 2,2
